AF;AF;;
AL;AL;;
AG;DZ;;
AQ;AS;;
AN;AD;;
AO;AO;;
AV;AI;;
AY;AQ;;
AC;AG;;
AR;AR;;
AM;AM;;
AA;AW;;
AT;;AU;
AS;AU;;
AU;AT;;
AJ;AZ;;
BF;BS;;
BA;BH;;
FQ;;UM;
BG;BD;;
BB;BB;;
BS;;TF;
BO;BY;;
BE;BE;;
BH;BZ;;
BN;BJ;;
BD;BM;;
BT;BT;;
BL;BO;;
;BQ;;AN(2060)
BK;BA;;
BC;BW;;
BV;BV;;
BR;BR;;
IO;IO;;
VI;VG;;
BX;BN;;
BU;BG;;
UV;BF;;
BM;MM;;
BY;BI;;
CB;KH;;
CM;CM;;
CA;CA;;
CV;CV;;
CJ;KY;;
CT;CF;;
CD;TD;;
CI;CL;;
CH;CN;;
KT;CX;;
IP;;FR;
CK;CC;;
CO;CO;;
CN;KM;;
CG;CD;;
CF;CG;;
CW;CK;;
CR;;AU;
CS;CR;;
IV;CI;;
HR;HR;;
CU;CU;;
UC;CW;;
CY;CY;;
EZ;CZ;;
DA;DK;;
DJ;DJ;;
DO;DM;;
DR;DO;;
EC;EC;;
EG;EG;;
ES;SV;;
EK;GQ;;
ER;ER;;
EN;EE;;
ET;ET;;
EU;;TF;
FK;FK;;
FO;FO;;
FJ;FJ;;
FI;FI;;
FR;FR;;
FG;GF;;
FP;PF;;
FS;TF;;
GB;GA;;
GA;GM;;
GZ;;PS;
GG;GE;;
GM;DE;;
GH;GH;;
GI;GI;;
GO;;TF;
GR;GR;;
GL;GL;;
GJ;GD;;
GP;GP;;
GQ;GU;;
GT;GT;;
GK;GG;;
GV;GN;;
PU;GW;;
GY;GY;;
HA;HT;;
HM;HM;;
VT;VA;;
HO;HN;;
HK;HK;;
HQ;;UM;
HU;HU;;
IC;IS;;
IN;IN;;
ID;ID;;
IR;IR;;
IZ;IQ;;
EI;IE;;
IM;IM;;
IS;IL;;
IT;IT;;
JM;JM;;
JN;;SJ;
JA;JP;;
DQ;;UM;
JE;JE;;
JQ;;UM;
JO;JO;;
JU;;TF;
KZ;KZ;;
KE;KE;;
KQ;;UM;
KR;KI;;
KN;KP;;
KS;KR;;
KV;;;
KU;KW;;
KG;KG;;
LA;LA;;
LG;LV;;
LE;LB;;
LT;LS;;
LI;LR;;
LY;LY;;
LS;LI;;
LH;LT;;
LU;LU;;
MC;MO;;
MK;MK;;
MA;MG;;
MI;MW;;
MY;MY;;
MV;MV;;
ML;ML;;
MT;MT;;
RM;MH;;
MB;MQ;;
MR;MR;;
MP;MU;;
MF;YT;;
MX;MX;;
FM;FM;;
MQ;;UM;
MD;MD;;
MN;MC;;
MG;MN;;
MJ;ME;;
MH;MS;;
MO;MA;;
MZ;MZ;;
WA;NA;;
NR;NR;;
BQ;;UM;
NP;NP;;
NL;NL;;
#NT;AN;	# ISO 3166-1 Change Notice V.8, 12/15/2010 drops entry Netherlands Antilles
NC;NC;;
NZ;NZ;;
NU;NI;;
NG;NE;;
NI;NG;;
NE;NU;;
NF;NF;;
CQ;MP;;
NO;NO;;
MU;OM;;
PK;PK;;
;BQ;;	# ISO 3166-1 Change Notice V.8, 12/15/2010 add entry Bonaire
PS;PW;;
;PS;;
LQ;;UM;
PM;PA;;
PP;PG;;
PF;;;
PA;PY;;
PE;PE;;
RP;PH;;
PC;PN;;
PL;PL;;
PO;PT;;
RQ;PR;;
QA;QA;;
RE;RE;;
RO;RO;;
RS;RU;;
RW;RW;;
TB;BL;;
SH;SH;;
SC;KN;;
ST;LC;;
RN;MF;;
SB;PM;;
VC;VC;;
WS;WS;;
SM;SM;;
TP;ST;;
SA;SA;;
SG;SN;;
RI;RS;;
SE;SC;;
SL;SL;;
SN;SG;;
NN;SX;;
LO;SK;;
SI;SI;;
BP;SB;;
SO;SO;;
SF;ZA;;
SX;GS;;
SP;ES;;
;SS;;	# ISO 3166-1 Change Notice v.10, 8/9/2011 add entry South Sudan
PG;;;
CE;LK;;
SU;SD;;
NS;SR;;
SV;SJ;;
WZ;SZ;;
SW;SE;;
SZ;CH;;
SY;SY;;
TW;TW;;
TI;TJ;;
TZ;TZ;;
TH;TH;;
TT;TL;;
TO;TG;;
TL;TK;;
TN;TO;;
TD;TT;;
TE;;TF;
TS;TN;;
TU;TR;;
TX;TM;;
TK;TC;;
TV;TV;;
UG;UG;;
UP;UA;;
AE;AE;;
UK;GB;;
US;US;;
;UM;;
UY;UY;;
UZ;UZ;;
NH;VU;;
VE;VE;;
VM;VN;;
VQ;VI;;
WQ;;UM;
WF;WF;;
WE;;PS;
WI;EH;;
YM;YE;;
ZA;ZM;;
ZI;ZW;;